,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
26476,73.33,186.04,12.57,28.55,21.4,0.9,13.99,75.58,166.0,4
26477,29.88,66.95,13.38,20.67,11.54,0.6,8.77,19.43,87.0,4
26478,339.96,535.68,103.69,108.76,88.44,1.3,21.6,55.09,524.0,4
26479,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26480,75.53,166.11,17.95,13.2,88.16,1.17,11.07,4.67,129.0,4
26481,37.67,36.223333333333336,25.69,126.91,49.2,0.0,66.34,26.786666666666665,97.0,4
26482,25.04,32.78,7.23,8.1,3.01,1.72,10.29,29.28,94.0,4
26483,207.16,63.96,9.61,52.36,55.77,1.19,11.66,80.06,383.0,4
26484,41.67,71.05,13.23,8.81,11.06,1.49,21.08,29.75,79.0,4
26485,327.45,72.17666666666666,15.93,59.08,22.416666666666668,5.2,3.16,44.59,466.0,4
26486,164.2,349.29,47.09,62.66,62.61,1.52,15.09,55.26,347.0,4
26487,214.24,342.13,49.66,83.62,49.4,2.1,22.68,101.15,367.0,4
26488,63.07,66.17999999999999,7.79,10.21,22.433333333333334,0.65,8.16,16.0,109.0,4
26489,19.27,57.42,30.19,18.13,2.05,0.72,3.92,17.37,82.0,4
26490,15.32,45.04,3.13,10.48,15.07,0.88,8.93,14.12,52.0,4
26491,65.98,100.21,9.11,43.82,27.81,0.46,39.34,62.06,115.0,4
26492,54.16,54.660000000000004,5.41,15.93,119.72,1.05,5.27,38.81,123.0,4
26493,11.0,27.03,8.89,9.46,6.27,1.99,3.63,4.56,117.0,4
26494,18.29,60.5,25.55,37.56,4.16,0.8,23.34,31.21,93.0,4
26495,36.5,79.0,5.25,32.41,13.47,0.45,5.74,23.91,72.0,4
26496,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
26497,24.25,52.38,4.37,15.26,10.3,1.31,12.16,35.45,65.33333333333333,4
26498,106.73,219.55,6.1,47.17,21.32,1.24,20.65,67.94,274.0,4
26499,183.24,345.68,85.1,68.86,62.87,2.14,24.96,130.02,368.0,4
26500,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26501,76.38,148.53333333333333,42.44,82.76,22.793333333333333,42.44,70.61,59.68,711.0,4
26502,18.09,80.35,27.0,7.78,7.58,2.1,41.32,0.81,103.0,4
26503,33.03,80.72,6.32,26.32,12.42,0.49,5.04,30.42,70.0,4
26504,75.89,74.25,6.62,40.51,11.696666666666667,1.94,5.72,65.46,137.0,4
26505,35.57,60.1,26.1,37.6,15.03,1.14,4.19,34.78,88.0,4
26506,34.83,69.69,11.66,30.98,28.95,0.93,8.28,23.75,74.0,4
26507,58.8,89.31333333333333,15.79,34.36,6.59,0.78,8.82,15.38,122.0,4
26508,19.66,84.09666666666668,24.39,65.16,23.506666666666664,24.39,56.92,26.6,518.0,4
26509,38.48,51.07,9.33,10.34,36.49,0.55,14.94,30.14,79.0,4
26510,18.81,55.66,3.91,11.7,11.32,1.01,5.53,62.72,88.0,4
26511,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26512,66.13,98.19333333333333,7.49,21.13,30.0,0.74,3.43,34.18,199.0,4
26513,28.68,29.27,3.62,12.12,6.8,0.56,6.33,16.99,65.0,4
26514,30.33,99.38,24.02,26.7,23.04,0.6,7.97,31.9,113.0,4
26515,132.02,232.16,55.58,35.27,30.873333333333335,2.29,7.79,28.19,289.0,4
26516,21.08,44.06666666666666,6.89,22.99,20.203333333333333,1.14,5.53,15.47,67.0,4
26517,48.19,68.44,11.84,23.43,21.13,0.78,6.27,29.86,99.0,4
26518,34.31,115.46,16.31,127.02,6.829999999999999,16.31,121.46,80.39,360.0,4
26519,643.71,119.65333333333335,43.86,32.66,9.336666666666666,0.99,5.97,30.46,891.0,4
26520,189.44,339.69,17.22,10.0,13.0,0.48,16.3,15.22,358.0,4
26521,39.54,93.50666666666666,7.74,17.21,6.56,1.37,44.28,84.49,135.0,4
26522,87.09,133.51,8.56,9.83,4.67,0.0,12.57,7.04,151.0,4
26523,33.84,41.32,10.05,24.29,23.2,0.65,4.62,27.96,72.0,4
26524,95.15,197.1,48.24,95.6,34.839999999999996,48.24,79.66,52.85,1275.0,4
26525,179.33,72.17666666666668,24.17,78.7,21.336666666666662,1.93,39.91,42.81,336.0,4
26526,74.1,123.51,10.55,4.01,1.49,2.05,37.65,23.51,145.0,4
26527,91.96,98.17333333333333,4.77,21.34,12.5,8.98,14.25,39.2,183.0,4
26528,144.98,368.81,80.18,108.83,34.74,1.26,22.1,120.33,400.0,4
26529,25.88,54.67,16.21,19.22,12.38,0.82,10.13,22.25,75.0,4
26530,50.75666666666667,44.303333333333335,2.63,32.56,13.59,0.0,4.406666666666666,20.216666666666665,144.0,4
26531,112.65,217.1,18.43,19.73,36.47,3.18,8.91,20.16,290.0,4
26532,41.88,85.10666666666667,10.81,14.53,14.956666666666665,1.02,1.93,14.54,126.0,4
26533,355.4,57.623333333333335,118.54,25.68,38.43666666666667,6.21,35.97,17.07,456.0,4
26534,12.02,66.2,4.91,9.24,8.16,0.35,11.41,15.61,47.0,4
26535,115.87,127.88999999999999,11.67,33.81,63.85,1.14,12.22,23.1,239.0,4
26536,76.62,117.38,10.49,18.21,15.2,9.02,4.2,22.85,197.0,4
26537,41.93,124.03,3.57,32.43,19.38,0.56,7.74,38.17,114.0,4
26538,66.86,156.78,22.58,22.93,117.44,0.02,5.32,35.68,136.0,4
26539,88.75,212.16,20.9,35.54,61.61,0.98,7.24,56.61,250.0,4
26540,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26541,33.81,43.27,7.65,20.93,29.66,0.93,5.87,24.92,73.0,4
26542,103.01,102.9,3.03,0.74,11.17,0.86,5.43,51.97,235.0,4
26543,50.9,169.67,18.51,30.4,24.82,1.14,10.08,24.86,151.0,4
26544,14.74,46.8,1.02,7.37,12.12,0.34,8.2,82.56,99.0,4
26545,58.04,99.35,14.0,49.77,12.16,0.61,8.68,37.85,114.0,4
26546,91.04,97.38,21.51,87.17,9.663333333333334,1.56,38.75,85.58,206.0,4
26547,81.37,141.25,11.98,34.88,29.46,4.67,13.97,70.42,234.0,4
26548,41.11,104.29,4.12,10.69,16.18,0.7,5.59,91.17,152.0,4
26549,31.01,97.49666666666667,26.43,63.76,26.326666666666664,26.43,128.43,18.69,467.0,4
26550,59.98,126.87,16.13,38.98,15.59,0.85,8.96,39.85,122.0,4
26551,17.63,62.18,63.42,16.04,11.17,0.93,10.19,24.64,110.0,4
26552,15.7,75.83999999999999,6.3,13.12,8.92,1.56,5.04,34.42,86.0,4
26553,32.01,141.16,20.93,14.93,12.8,0.78,9.5,43.57,118.0,4
26554,50.70666666666667,175.47333333333333,8.72,11.4,110.13,0.9,6.31,30.54,139.33333333333334,4
26555,39.39,148.72,12.05,10.47,19.41,0.43,9.23,23.02,127.0,4
26556,29.44,112.15,2.98,30.64,14.25,0.78,10.44,78.11,124.0,4
26557,131.05,256.85,74.5,23.34,2.16,1.92,21.48,17.62,271.0,4
26558,78.15,48.89000000000001,7.2,11.42,40.846666666666664,2.99,11.68,41.26,211.0,4
26559,153.13,170.94000000000003,54.95,52.36,33.96333333333333,5.05,8.73,22.07,359.0,4
26560,91.12,19.613333333333333,7.84,13.56,15.079999999999998,1.76,5.36,12.85,198.0,4
26561,24.81,69.65,8.32,8.64,11.1,0.4,7.19,35.76,70.0,4
26562,84.96,143.73,41.39,8.06,21.07,2.15,43.6,28.68,108.0,4
26563,54.28,226.57333333333335,18.46,24.85,23.82,9.48,18.14,31.3,201.0,4
26564,84.02,44.06666666666666,5.72,30.46,7.703333333333333,1.22,4.89,56.89,179.0,4
26565,20.14,148.29999999999998,125.92333333333333,7.44,9.603333333333333,1.18,20.35,50.01,69.0,4
26566,20.15,51.75,80.95,15.72,6.47,0.58,4.52,29.06,97.0,4
26567,40.23,63.79666666666666,8.68,2.79,19.243333333333336,8.68,1.69,15.16,214.0,4
26568,30.45,75.08,3.74,21.48,6.56,0.4,2.3333333333333335,58.31,135.0,4
26569,54.93,39.73333333333333,6.84,12.7,6.56,0.55,17.79,75.87,97.0,4
26570,80.08,98.64999999999999,28.65,26.21,30.549999999999997,1.65,8.17,28.63,157.0,4
26571,76.36,62.026666666666664,7.31,20.99,28.02,1.04,4.73,51.5,184.0,4
26572,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26573,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26574,84.15,123.28666666666668,15.83,32.1,6.976666666666667,15.83,19.37,23.12,519.0,4
26575,121.14,248.22,46.48,54.57,27.78,1.38,13.41,32.14,258.0,4
26576,35.96,65.09,9.66,23.08,12.88,1.41,10.15,42.93,85.0,4
26577,57.76,127.04,9.57,43.28,40.28,0.91,12.99,51.24,128.0,4
26578,43.343333333333334,39.51,0.58,5.22,13.1,1.92,57.47,58.01,113.0,4
26579,30.14,54.16,6.89,10.57,6.69,0.56,11.81,16.35,69.0,4
26580,59.97,118.93333333333332,8.43,16.56,20.043333333333333,1.52,8.58,20.29,144.0,4
26581,47.24,37.410000000000004,7.66,11.49,20.84,1.63,2.85,19.58,87.0,4
26582,18.9,108.97,68.38333333333334,3.033333333333333,0.016666666666666666,2.1,50.77,2.4,124.0,4
26583,55.63,186.41,13.26,42.61,26.05,0.18,27.37,35.6,156.0,4
26584,16.45,32.26,1.41,5.66,7.0,0.0,66.44000000000001,36.76,52.0,4
26585,32.95,54.63,1.14,3.51,3.66,0.46,6.99,51.26,73.0,4
26586,46.85,90.0,0.99,2.99,2.05,1.85,4.0,33.36333333333334,99.0,4
26587,23.79,46.15,5.77,26.7,9.37,0.0,3.45,44.56,53.0,4
26588,29.52,98.54,14.47,6.72,7.97,0.37,6.95,14.77,93.0,4
26589,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
26590,29.42,80.62,5.32,8.1,10.31,0.87,6.07,24.43,100.0,4
26591,33.29,64.64,4.48,31.22,8.69,1.17,4.35,20.91,71.0,4
26592,39.38,72.17666666666668,8.53,12.68,6.56,0.76,9.61,42.52,165.0,4
26593,28.38,51.05,10.73,4.85,6.7,0.37,3.45,31.95,54.0,4
26594,199.12,294.81,46.99,50.79,29.59,1.25,22.65,37.83,351.0,4
26595,98.84,181.41,60.14,63.57,24.42,1.72,5.98,38.34,225.0,4
26596,82.63666666666666,81.43333333333334,10.92,16.71,18.57,1.71,3.09,27.37,177.0,4
26597,92.86,172.78,19.73,56.12,28.68,1.63,11.43,59.07,212.0,4
26598,124.42,118.97000000000003,5.71,33.18,18.98333333333333,1.4,19.4,43.79,208.0,4
26599,69.65,120.93,2.69,26.1,12.15,0.77,8.16,92.94,152.0,4
26600,50.17,72.73,1.88,15.14,6.37,1.58,6.34,49.1,162.0,4
26601,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26602,172.33,72.17666666666668,21.31,51.53,31.08,1.17,7.06,47.5,323.0,4
26603,176.96,370.39,36.06,29.56,6.293333333333334,1.81,9.18,31.96,405.0,4
26604,9.63,23.2,4.21,12.29,69.21,0.38,10.93,16.26,29.0,4
26605,14.82,19.67,11.65,0.35,23.19,0.31,9.06,0.05,31.0,4
26606,37.26,121.68,26.74,37.79,3.71,1.15,21.26,38.29,112.0,4
26607,118.57,205.43,33.37,51.82,36.16,1.18,12.08,33.75,277.0,4
26608,109.9,109.99666666666667,39.56,53.4,30.549999999999997,1.81,14.57,27.98,228.0,4
26609,77.86,159.49,10.69,90.28,4.66,1.16,14.21,22.45,145.0,4
26610,111.68,133.21333333333334,41.3,119.71,32.00333333333333,41.3,94.48,53.57,1171.0,4
26611,18.69,50.06,3.48,12.39,12.21,0.81,7.62,68.32,101.0,4
26612,169.32,12.976666666666667,10.92,19.13,27.213333333333335,1.52,7.19,15.43,348.0,4
26613,49.88,127.47,25.05,101.3,30.363333333333333,25.05,120.8,48.48,512.0,4
26614,11.58,32.14,21.45,16.13,16.04,0.55,8.73,17.35,64.0,4
26615,21.65,44.31,2.64,10.65,15.93,0.58,14.8,46.11,71.0,4
26616,33.48,85.96000000000002,1.94,30.88,15.99,1.94,14.26,33.07333333333333,114.0,4
26617,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
26618,7.98,22.64,0.84,3.03,1.66,0.63,1.57,26.12,45.0,4
26619,39.0,70.49,8.42,14.96,57.1,0.48,10.16,4.84,44.0,4
26620,20.52,30.46,4.38,6.16,40.63,1.92,9.56,5.22,102.0,4
26621,40.97,95.61,3.81,34.92,12.87,0.6,8.92,33.65,80.0,4
26622,61.28,138.26,16.84,48.98,5.0,0.84,9.71,4.22,111.0,4
26623,67.67,85.59666666666668,10.71,69.19,6.56,0.81,27.72,77.92,125.0,4
26624,29.98,92.12,8.89,34.16,35.67,0.72,13.16,33.09,128.0,4
26625,197.63,109.00666666666666,7.93,10.98,19.156666666666666,1.25,3.91,21.9,361.0,4
26626,20.71,44.65,14.94,79.1,25.996666666666666,14.94,107.18,33.31,432.0,4
26627,86.64,109.53333333333335,13.7,38.53,44.39333333333334,1.16,1.93,23.97,109.66666666666667,4
26628,63.95,175.36,7.92,24.65,17.15,0.69,9.57,24.42,115.0,4
26629,32.16,36.63,10.43,10.95,60.39,0.97,10.2,25.52,74.0,4
26630,24.66,100.53,3.66,37.93,9.22,0.71,7.02,28.63,92.0,4
26631,84.04,145.4466666666667,9.22,23.72,3.78,0.25,9.19,21.42,174.0,4
26632,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
26633,32.98,88.49,9.5,9.99,13.01,0.67,10.45,16.72,74.0,4
26634,44.32,118.8,12.34,38.3,16.05,0.94,5.15,47.32,108.0,4
26635,70.04,106.75333333333333,14.87,78.1,21.336666666666662,14.87,69.86,55.89,336.0,4
26636,24.8,106.05666666666667,60.78333333333333,17.599999999999998,8.343333333333334,1.2,17.29,37.89,75.0,4
26637,50.330000000000005,100.84333333333332,25.486666666666665,31.58666666666667,15.026666666666666,1.05,11.209999999999999,35.43,100.66666666666667,4
26638,120.12,177.4,18.92,36.38,12.98,0.74,9.68,27.19,265.0,4
26639,27.18,53.02,8.28,14.8,29.94,0.76,15.59,53.43,98.0,4
26640,55.72,86.96,2.85,13.9,14.4,0.7,10.3,42.3,98.0,4
26641,39.16,187.19,41.1,17.576666666666664,8.77,2.39,2.73,5.59,222.0,4
26642,48.05,41.47666666666667,11.45,12.98,100.03,0.75,12.92,24.98,76.0,4
26643,25.63,70.82,27.14,16.61,60.71,1.48,7.97,20.53,108.0,4
26644,132.57,23.610000000000003,6.69,30.39,34.98,2.06,9.9,25.37,294.0,4
26645,539.41,86.87333333333333,20.24,40.8,22.849999999999998,1.36,7.28,21.86,442.0,4
26646,56.91,118.12,23.53,36.89,24.69,0.81,8.57,31.85,102.0,4
26647,12.59,21.57,6.27,5.97,1.64,0.48,13.16,17.38,26.0,4
26648,171.39,299.85,5.96,40.67,4.173333333333334,1.09,38.3,38.4,434.0,4
26649,72.69,124.83,7.72,9.04,6.56,0.32,2.04,22.1,121.0,4
26650,56.05,46.51666666666667,7.753333333333333,27.419999999999998,13.816666666666668,0.51,5.99,18.74,96.0,4
26651,50.38,54.163333333333334,12.65,25.11,18.57,0.88,5.87,24.65,79.0,4
26652,63.98,326.64,7.03,7.17,6.62,0.0,66.44000000000001,20.61,351.0,4
26653,18.01,36.07,4.76,29.23,5.65,0.38,1.11,18.3,49.0,4
26654,50.31,79.04,2.63,6.35,4.75,4.85,34.23,61.71,139.0,4
26655,65.54,80.80333333333334,5.32,19.39,47.1,1.89,9.44,36.38,146.0,4
26656,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26657,69.58,105.5,6.59,36.82,22.4,0.84,5.88,38.72,120.0,4
26658,31.45,53.03,4.7,9.56,4.56,2.19,12.7,8.26,103.0,4
26659,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26660,23.68,105.63,9.88,30.53,26.72,0.59,4.73,51.12,85.0,4
26661,157.3,255.7,76.58,87.29,42.75,1.26,20.9,38.73,338.0,4
26662,93.36,256.14,23.75,47.73,39.4,1.51,16.55,43.9,263.0,4
26663,50.19,73.43,18.73,57.62,20.93,1.78,5.34,2.33,99.0,4
26664,17.89,17.37,10.88,12.81,73.66,0.78,7.96,12.78,63.0,4
26665,198.34,328.09,45.64,68.93,52.5,1.64,18.95,41.09,382.0,4
26666,63.71,130.06,8.47,30.2,44.39333333333334,1.4,8.39,23.65,112.0,4
26667,16.17,51.58,18.57,13.12,8.68,0.81,10.48,13.44,59.0,4
26668,63.68,115.75,17.14,10.13,12.03,1.03,7.86,42.74,144.0,4
26669,81.28,117.05,17.62,57.89,42.43,1.06,4.96,72.86,133.0,4
26670,22.37,34.73,3.79,21.84,9.31,0.45,2.49,17.82,49.0,4
26671,53.31,43.81,8.42,23.57,7.83,1.06,4.57,39.39,89.0,4
26672,40.43,72.52333333333333,8.2,23.18,28.223333333333333,3.36,3.68,10.78,78.0,4
26673,35.02,127.79,10.73,38.7,8.57,0.55,12.02,13.41,125.0,4
26674,10.8,28.79,1.82,5.63,8.68,1.01,4.2,7.71,66.0,4
26675,63.28333333333333,599.3,8.1,7.99,6.74,0.0,72.4,58.45,604.0,4
26676,70.22,212.13,8.91,9.22,6.48,0.6033333333333334,25.33,25.68,162.0,4
26677,47.33,80.15,11.26,7.59,22.55,0.61,10.8,10.68,81.0,4
26678,168.65,17.343333333333334,17.81,22.3,33.60333333333333,1.88,7.68,24.93,332.0,4
